,ChEMBL_ID,smiles,pIC50,unwantedID
0,CHEMBL63786,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.522878745280336,['Polycyclic-aromatic-hydrocarbon']
1,CHEMBL1243316,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNCC#C,10.522878745280336,"['Aliphatic-long-chain', 'Michael-acceptor', 'Triple-bond']"
2,CHEMBL363815,Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)C=C)cc23,10.431798275933003,"['Halogenated-ring', 'Michael-acceptor']"
3,CHEMBL3613702,Fc1cc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc(Cl)c1Cl,10.431798275933003,"['Halogenated-ring', 'Michael-acceptor']"
4,CHEMBL275762,Fc1cc(Cl)c(Cl)cc1Nc2ncnc3ccc(NC(=O)CCl)cc23,10.154901959985743,"['Alkyl-halide', 'Halogenated-ring']"
5,CHEMBL55729,Nc1ccc2cncnc2c1,10.0,['Aniline']
6,CHEMBL420624,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10.0,['Aniline']
7,CHEMBL190094,CN(C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,9.958607314841776,"['Halogenated-ring', 'Michael-acceptor']"
8,CHEMBL3930620,ONC(=O)CCCCCCn1cc(nn1)c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2,9.920818753952377,"['Aliphatic-long-chain', 'Hydroxamic-acid', 'Oxygen-nitrogen-single-bond']"
9,CHEMBL193160,ClCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,9.920818753952377,"['Alkyl-halide', 'Iodine']"
10,CHEMBL328216,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.920818753952377,['Aniline']
11,CHEMBL3892310,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC4C5COCC45,9.886056647693165,['Michael-acceptor']
12,CHEMBL417478,Fc1ccc(Nc2ncnc3cc(\C=C\CCN4CCOCC4)c(NC(=O)C=C)nc23)cc1Cl,9.795880017344077,['Michael-acceptor']
13,CHEMBL3357641,CN(C)C\C=C(/F)\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,9.795880017344077,['Michael-acceptor']
14,CHEMBL93032,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.769551078621726,['Catechol']
15,CHEMBL2031302,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,9.744727494896694,['Michael-acceptor']
16,CHEMBL3357634,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C\CN(C)C)\F,9.69897000433602,['Michael-acceptor']
17,CHEMBL437879,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,9.681936665037238,['Halogenated-ring']
18,CHEMBL52913,Clc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1,9.602059991327963,['Michael-acceptor']
19,CHEMBL328955,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991327963,['Aniline']
20,CHEMBL3357639,F\C(=C/CN1CCOCC1)\C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]5CCOC5,9.585026652029182,['Michael-acceptor']
21,CHEMBL3360608,COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCCn4ccnc4[N+](=O)[O-],9.585026652029182,"['Aliphatic-long-chain', 'Nitro-group', 'Oxygen-nitrogen-single-bond', 'Triple-bond']"
22,CHEMBL3929484,ONC(=O)CCCCCn1cc(nn1)c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2,9.568636235841012,"['Aliphatic-long-chain', 'Hydroxamic-acid', 'Oxygen-nitrogen-single-bond']"
23,CHEMBL152905,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,9.568636235841012,['Aniline']
24,CHEMBL3357635,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C\CN4CCCCC4)\F,9.568636235841012,['Michael-acceptor']
25,CHEMBL128468,OC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.55284196865778,['Aliphatic-long-chain']
26,CHEMBL203644,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.522878745280336,['Triple-bond']
27,CHEMBL3357644,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C/CN4CCOCC4)\F,9.522878745280336,['Michael-acceptor']
28,CHEMBL3360603,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn4ccnc4[N+](=O)[O-],9.508638306165727,"['Aliphatic-long-chain', 'Nitro-group', 'Oxygen-nitrogen-single-bond']"
29,CHEMBL3357642,CN(C)C\C=C(\F)/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,9.508638306165727,['Michael-acceptor']
